Unidade da Federacao;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
42 Santa Catarina;422107491.9;444376400.1;482941267.3;507951182.6;573083638.1;626008038.4;649716373.1;663853492.7;676676323.3;711391945.1;759243377.1
43 Rio Grande do Sul;757636446.5;794705313.9;807062262.6;846224368.7;970603274.1;1025980732;1076735541;1046635639;1053347906;1074036199;1131618227
